year,month,major_category,count(value)
2015,4,Criminal Damage,4716
2009,3,Other Notifiable Offences,1769
2009,5,Other Notifiable Offences,1706
2010,12,Robbery,2166
2013,3,Sexual Offences,242
2015,5,Sexual Offences,241
