year,month,major_category,count(value)
2008,5,Burglary,2424
2013,3,Theft and Handling,8842
2009,7,Other Notifiable Offences,1766
2011,12,Robbery,2056
2013,11,Fraud or Forgery,485
2012,11,Sexual Offences,235
2012,5,Sexual Offences,238
