year,month,major_category,count(value)
2011,6,Theft and Handling,9121
2011,5,Sexual Offences,218
2014,3,Other Notifiable Offences,1749
2010,10,Other Notifiable Offences,1758
2012,9,Other Notifiable Offences,1730
2013,11,Other Notifiable Offences,1747
2016,2,Fraud or Forgery,529
