year,month,major_category,count(value)
2008,6,Burglary,2375
2016,10,Theft and Handling,8974
2009,9,Burglary,2329
2010,4,Violence Against the Person,6976
2016,1,Other Notifiable Offences,1818
2010,9,Sexual Offences,256
