year,month,major_category,count(value)
2011,5,Theft and Handling,8959
2008,1,Burglary,2370
2016,8,Other Notifiable Offences,1787
2011,2,Other Notifiable Offences,1742
2013,6,Robbery,2109
2008,7,Robbery,2101
2011,6,Sexual Offences,232
