year,month,major_category,count(value)
2012,3,Burglary,2378
2011,10,Violence Against the Person,7176
2012,9,Sexual Offences,257
2015,6,Other Notifiable Offences,1788
2011,7,Robbery,2070
2016,2,Robbery,2112
