year,month,major_category,count(value)
2012,3,Theft and Handling,8852
2012,8,Other Notifiable Offences,1773
2012,11,Other Notifiable Offences,1697
2015,4,Other Notifiable Offences,1702
2014,8,Robbery,2170
2013,2,Fraud or Forgery,556
