year,month,major_category,count(value)
2012,6,Burglary,2370
2009,7,Violence Against the Person,7164
2011,3,Violence Against the Person,7171
2013,4,Other Notifiable Offences,1784
2010,5,Robbery,2148
2014,9,Robbery,2115
