borough,year,count(value)
Ealing,2013,17355
Barnet,2012,19103
Wandsworth,2011,13599
Camden,2009,12037
Hounslow,2014,8666
Barnet,2016,19120
Lambeth,2008,11622
Southwark,2013,12407
Camden,2013,11913
City of London,2011,310
Islington,2010,9300
Southwark,2016,12531
Sutton,2015,7952
Merton,2015,9279
Newham,2016,11958
Southwark,2015,12573
Havering,2012,8914
Croydon,2014,14348
Waltham Forest,2013,12384
Croydon,2008,14292
Harrow,2015,11530
Havering,2010,8968
Merton,2009,9303
Sutton,2008,8103
Hammersmith and Fulham,2010,10035
null,null,43
Wandsworth,2014,13546
Harrow,2009,11603
Kensington and Chelsea,2014,8947
Newham,2014,11790
Lambeth,2014,11550
Newham,2015,11966
Hillingdon,2011,11848
Brent,2015,16238
Harrow,2014,11680
Enfield,2008,12314
Waltham Forest,2008,12348
Richmond upon Thames,2008,9121
Camden,2011,12009
Harrow,2008,11511
Brent,2009,16232
Wandsworth,2008,13580
Camden,2016,11928
Redbridge,2009,11375
Ealing,2016,17523
Haringey,2011,9106
Hammersmith and Fulham,2008,9955
Greenwich,2016,9446
Croydon,2009,14416
Westminster,2008,10138
Harrow,2016,11682
Havering,2008,8939
Hackney,2014,9565
Lewisham,2016,10744
Hillingdon,2008,12035
Sutton,2012,7908
Havering,2015,8966
Kensington and Chelsea,2010,9182
Ealing,2008,17300
Enfield,2016,12249
Lewisham,2012,10859
Waltham Forest,2016,12290
Richmond upon Thames,2014,9115
City of London,2014,320
Wandsworth,2009,13496
Hackney,2011,9628
Camden,2015,11960
Camden,2014,11955
Harrow,2012,11559
Hounslow,2009,8860
